Species,Project,Run,Recovery Site,CU Index (Recovery Site),CU Name (Recovery Site),Waterbody ID (Recovery Site),Latitude (Recovery Site),Longitude (Recovery Site),Recovery Year,Sex/Maturity,01Used For Broodstock,02Loaded Into Spawning Channel,03Given To First Nations (FSC),04Excess To Spawning Req (ESSR),05Sold,06Holding Mortalities,07Used For Other Purposes/Other Mortalities,08Est Of First Nations Fishery (FSC),09Est Of Sport Fishery,10Captive Used For Broodstock,21Sampled For Marks And Released Above Fence,21Sampled For Marks And Released Below Fence,21Sampled For Marks And Released Total River,22Counted But Not Sampled Above Fence,22Counted But Not Sampled Below Fence,22Counted But Not Sampled Total River,23Additional Hatchery Estimate Above Fence,23Additional Hatchery Estimate Below Fence,23Additional Hatchery Estimate Total River,24Dead Pitch - Usable Count Above Fence,24Dead Pitch - Usable Count Below Fence,24Dead Pitch - Usable Count Total River,29StAD Estimate Above Fence,29StAD Estimate Below Fence,29StAD Estimate Total River
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2009,Male,95,,,,,,20,,,,,,20,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2009,Female,190,,,,,,7,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2009,Jack,12,,,,,,4,,,,,,,,,,,,,,,,,,95
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2010,Unsexed Adult,,,,,,,,,,,,,,,,188,,,,,,,,,725
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2010,Male,80,,,,,,17,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2010,Female,73,,,,,,2,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2010,Jack,,,,,,,2,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2011,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,1300
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2011,Male,58,,,,,28,,,,,,,,,,2,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2011,Female,113,,,,,3,,,,,,,,,,2,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2011,Jack,3,,,,,5,,,,,,,,,,,,,,,,,,,35
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2012,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,1484
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2012,Male,142,,,,,1,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2012,Female,137,,,,,11,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2012,Jack,3,,,,,,,,,,,,,,,,,,,,,,,,52
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2013,Unsexed Adult,,,,,,,,,,,,,,,,,,,800,,,,,,1171
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2013,Male,92,,,,,57,3,,,,,,148,,,,,,,,,,,,
